iter	Accuracy	MultiClass
410	0.8138138745	0.4376992242
411	0.813834088	0.4376866454
412	0.8137532342	0.4374991937
413	0.8138138745	0.4373487203
414	0.813834088	0.4373071944
415	0.8138745149	0.4372482909
416	0.8140160091	0.4372177739
417	0.8140968629	0.4370488127
418	0.8140968629	0.4370082859
419	0.8140160091	0.4368001551
420	0.8140766494	0.4366583536
421	0.8140766494	0.4365021649
422	0.8142181436	0.436281515
423	0.8141372898	0.4362024382
424	0.8141575032	0.4361563987
425	0.8141979301	0.4361302748
426	0.8143192109	0.4359896955
427	0.814278784	0.4359635918
428	0.8141777167	0.4359123431
429	0.8142989974	0.4357988086
430	0.8142989974	0.4357972325
431	0.8142585705	0.4356201235
432	0.8142585705	0.4356180781
433	0.8142585705	0.4355416742
434	0.8141979301	0.4355004906
435	0.8143394243	0.4353597028
436	0.8143192109	0.4353178711
437	0.8143192109	0.4352305206
438	0.8143596378	0.4352103843
439	0.8143394243	0.4351233188
440	0.8144202781	0.4350793582
441	0.8144404916	0.4350672581
442	0.8144404916	0.4350160137
443	0.8144809185	0.4349479564
444	0.8145213454	0.4349294022
445	0.8145213454	0.4348310401
446	0.8145819858	0.4346921718
447	0.8145617723	0.4345048984
448	0.8144809185	0.4344542656
449	0.8146628396	0.4342771978
450	0.8145819858	0.434115222
451	0.8146426261	0.4340330959
452	0.814683053	0.4339147211
453	0.8146426261	0.4338074684
454	0.814683053	0.4335452687
455	0.8147234799	0.4333432312
456	0.8147436934	0.4331854016
457	0.8147234799	0.4331460718
458	0.8147234799	0.4330608653
459	0.8148447607	0.4328953125
460	0.8148851876	0.4326468934
461	0.8148649741	0.4326312981
462	0.8148447607	0.4326015552
463	0.8149458279	0.432530578
464	0.8148851876	0.4323834039
465	0.8148851876	0.4323405693
466	0.8149660414	0.4321930553
467	0.815127749	0.4320573259
468	0.8151681759	0.4318608849
469	0.8151681759	0.4317641316
470	0.8151883894	0.4315223523
471	0.8152490298	0.4314994951
472	0.8152490298	0.4313595067
473	0.8152086028	0.4313108971
474	0.8151883894	0.4312966673
475	0.8152490298	0.4312083018
476	0.8152490298	0.4312078105
477	0.8152692432	0.4311300502
478	0.8152692432	0.4310496277
479	0.8154309508	0.4309735851
480	0.8155320181	0.4309476444
481	0.8155118047	0.4309275036
482	0.8155926585	0.4308482909
483	0.8156937257	0.4307927911
484	0.8157139392	0.4306421993
485	0.8156330854	0.4304689682
486	0.8155522316	0.4304345254
487	0.8156128719	0.4301677198
488	0.8157543661	0.4299871654
489	0.8157745796	0.4299604008
490	0.8157341527	0.429873954
491	0.8158150065	0.4298460123
492	0.8157139392	0.4297840674
493	0.8158150065	0.4296568895
494	0.8158958603	0.4295298788
495	0.8160575679	0.4294551304
496	0.8160777814	0.4294349723
497	0.8160979948	0.4293800382
498	0.8160575679	0.429305805
499	0.8160979948	0.4291203211
500	0.8162192755	0.4289256553
501	0.8162597025	0.4288357789
502	0.8163203428	0.4287885802
503	0.8164820505	0.4286591536
504	0.8164214101	0.4286358916
505	0.8163607697	0.4285804157
506	0.8163809832	0.428522716
507	0.8163809832	0.4284728474
508	0.8163809832	0.4284448979
509	0.8165426908	0.4283673395
510	0.8165629043	0.428318538
511	0.8165426908	0.4282273174
