iter	Passed	Remaining
0	156	312630
1	257	257539
2	362	241135
3	462	230921
4	561	224160
5	664	220825
6	767	218416
7	868	216280
8	971	214845
9	1078	214583
10	1184	214151
11	1294	214472
12	1397	213664
13	1507	213891
14	1620	214380
15	1731	214763
16	1836	214240
17	1939	213531
18	2047	213520
19	2151	212990
20	2258	212832
21	2364	212552
22	2470	212383
23	2583	212667
24	2689	212451
25	2800	212617
26	2905	212349
27	3009	211937
28	3119	212028
29	3226	211866
30	3324	211169
31	3427	210817
32	3534	210692
33	3640	210516
34	3750	210590
35	3860	210606
36	3964	210317
37	4072	210252
38	4175	209943
39	4283	209871
40	4391	209849
41	4492	209427
42	4592	209014
43	4697	208820
44	4801	208602
45	4905	208359
46	5009	208178
47	5114	207973
48	5215	207670
49	5320	207518
50	5427	207401
51	5536	207420
52	5638	207125
53	5730	206515
54	5841	206585
55	5951	206607
56	6059	206560
57	6156	206127
58	6264	206085
59	6366	205839
60	6467	205586
61	6580	205707
62	6696	205896
63	6810	206028
64	6934	206424
65	7050	206608
66	7159	206558
67	7262	206336
68	7363	206081
69	7470	205960
70	7583	206039
71	7688	205884
72	7793	205733
73	7891	205388
74	7988	205046
75	8091	204854
76	8193	204630
77	8296	204436
78	8401	204298
79	8505	204122
80	8611	204025
81	8715	203857
82	8819	203694
83	8925	203590
84	9033	203530
85	9134	203305
86	9238	203145
87	9346	203064
88	9452	202952
89	9566	203012
90	9674	202957
91	9779	202822
92	9886	202718
93	9990	202578
94	10097	202479
95	10206	202420
96	10311	202298
97	10420	202247
98	10530	202198
99	10641	202187
100	10753	202183
101	10858	202046
102	10958	201829
103	11060	201641
104	11175	201688
105	11281	201580
106	11392	201554
107	11501	201490
108	11598	201214
109	11695	200945
110	11799	200799
111	11904	200668
112	12015	200643
113	12126	200615
114	12227	200423
115	12331	200285
116	12437	200175
117	12549	200157
118	12655	200037
119	12759	199905
120	12860	199704
121	12972	199698
122	13077	199568
123	13182	199437
124	13288	199323
125	13391	199171
126	13502	199141
127	13614	199106
128	13719	198982
129	13822	198831
130	13929	198734
131	14029	198545
132	14130	198353
133	14242	198336
134	14348	198221
135	14453	198100
136	14565	198065
137	14659	197802
138	14760	197622
139	14863	197475
140	14971	197396
141	15085	197380
142	15191	197278
143	15295	197136
144	15397	196981
145	15503	196878
146	15614	196825
147	15710	196588
148	15808	196384
149	15909	196219
150	16014	196092
151	16123	196025
152	16227	195895
153	16333	195787
154	16446	195762
155	16549	195624
156	16666	195642
157	16788	195723
158	16893	195599
159	16998	195488
160	17100	195330
161	17201	195161
